Company,Country,Telephony,3Ltr
1 TIME AIRLINE (PTY) LTD,SOUTH AFRICA,NEXTIME,RNX
2 EXCEL AVIATION LTD,UNITED KINGDOM,BROADSWORD,BRO
"2 SQN, NO 1 ELEMENTARY FLYING TRAINING SCHOOL",UNITED KINGDOM,WYTON,WYT
"3D AVIATION, INC. (HELENA, MT)",UNITED STATES,SECUREX,SEC
7STAR GLOBAL AIRLINES LIMITED,NIGERIA,STAR WINGS,SGL
"21-AIR, LLC",UNITED STATES,CARGO SOUTH,CSB
25ONLY AVIATION GMBH,GERMANY,ONLY JET,ONY
"32 (TR) SQUADRON, RAF NORTHOLT",UNITED KINGDOM,NORTHOLT,NOH
"34 SQUADRON, ROYAL AUSTRALIAN AIR FORCE",AUSTRALIA,,EVY
43 AIR SCHOOL,SOUTH AFRICA,PRIMA,PIU
84 SQN RAF AKROTIRI,UNITED KINGDOM,GRIFTER,AKG
213 FLIGHT UNIT,RUSSIAN FEDERATION,,TFU
"223 FLIGHT UNIT, STATE AIRLINE",RUSSIAN FEDERATION,CHKALOVSK-AVIA,CHD
224TH FLIGHT UNIT,RUSSIAN FEDERATION,CARGO UNIT,TTF
247 AVIATION LIMITED,UNITED KINGDOM,NIGHTINGALE,EMC
247 JET LTD,UNITED KINGDOM,CLOUD RUNNER,TWF
1903 AVIATION,SWEDEN,HIGH SCORE,HCR
1590877AB DBA NORTHSTAR AIR TOURS LTD,CANADA,GREY JAY,GJA
2080061 ONTARIO INC.,CANADA,PHOENIX NORTH,PHX
9736140 CANADA INC. - PASCAN,CANADA,PASCAN,PSC
A-JET AVIATION CO. LTD,MONGOLIA,JET MONGOLIA,AJR
A-SAFAR AIR SERVICES LIMITED,NIGERIA,AIR SAFAR,SFM
AAC-ANGOLA AIR CHARTER LIMITED,ANGOLA,ANGOLA CHARTER,AGO
ABABEEL AVIATION CO. LTD,SUDAN,BABEL AIR,BBE
ABAKAN AIR,RUSSIAN FEDERATION,ABAKAN AIR,NKP
ABAN AIR,IRAN (ISLAMIC REPUBLIC OF),ABAN,ABE
ABAS,CZECHIA,ABAS,MRP
"ABC AEROLINEAS, S.A. DE C.V.",MEXICO,ABC AEROLINEAS,AIJ
ABC AIR HUNGARY LTD,HUNGARY,ABC HUNGARY,AHU
ABC BEDARFSFLUG GMBH,AUSTRIA,FLY TYROL,FTY
ABELAG AVIATION,BELGIUM,ABG,AAB
ABERDAIR AVIATION GH LTD,GHANA,,ROH
ABERDAIR AVIATION LIMITED,KENYA,ABERDAV,BDV
ABS JETS,CZECHIA,BAIR,ABP
ABSA AEROLINHAS BRASILEIRAS S/A,BRAZIL,TAMCARGO,LTG
ABSOLUTE FLIGHT SERVICES (PTY) LTD,SOUTH AFRICA,TITANIUM,TTN
ABU DHABI AVIATION,UNITED ARAB EMIRATES,BARAKAH,BAR
"ABX AIR, INC. (WILMINGTON, OH)",UNITED STATES,ABEX,ABX
"AC AVIATION CO., LTD",THAILAND,SINOJET,ACJ
ACA-ANCARGO AIR SOCIEDADE DE TRANSPORTE DE CARGA LDA,ANGOLA,ANCARGO AIR,NCL
"ACADEMY AIRLINES (GRIFFIN, GA)",UNITED STATES,ACADEMY,ACD
