Aircraft TypeDesignator,Class,Number+Engine Type,"MANUFACTURER, Model"
A002,Gyrocopter,1/Piston,"IRKUT, A-002"
A1,LandPlane,1/Piston,"DOUGLAS, A-1 Skyraider"
A10,LandPlane,2/Jet,"FAIRCHILD, A-10 Thunderbolt 2"
A109,Helicopter,2/Turboprop/Turboshaft,"AGUSTAWESTLAND, AW-109 Grand"
A119,Helicopter,1/Turboprop/Turboshaft,"AGUSTAWESTLAND, AW-119 Koala"
A122,LandPlane,1/Piston,"AEROTEC, A-122 Uirapuru"
A124,LandPlane,4/Jet,"ANTONOV, An-124 Ruslan"
A129,Helicopter,2/Turboprop/Turboshaft,"AGUSTAWESTLAND, AW-129"
A139,Helicopter,2/Turboprop/Turboshaft,"AGUSTAWESTLAND, AW-139"
A140,LandPlane,2/Turboprop/Turboshaft,"ANTONOV, An-140"
A148,LandPlane,2/Jet,"ANTONOV, An-148"
A149,Helicopter,2/Turboprop/Turboshaft,"AGUSTAWESTLAND, AW-149"
A158,LandPlane,2/Jet,"ANTONOV, An-158"
A16,LandPlane,1/Piston,"AVIADESIGN, A-16 Sport Falcon"
A169,Helicopter,2/Turboprop/Turboshaft,"AGUSTAWESTLAND, AW-169"
A178,LandPlane,2/Jet,"ANTONOV, An-178"
A189,Helicopter,2/Turboprop/Turboshaft,"AGUSTAWESTLAND, AW-189"
A19,LandPlane,1/Piston,"AEROPRACT, A-19"
A19N,LandPlane,2/Jet,"AIRBUS, A-319NEO"
A20,LandPlane,2/Piston,"DOUGLAS, A-20 Havoc"
A205,Gyrocopter,1/Piston,"OSKBES-MAI, MAI-205"
A20J,LandPlane,1/Jet,"SCHLEICHER, ASW-20J"
A20N,LandPlane,2/Jet,"AIRBUS, A-320NEO"
A21,LandPlane,1/Piston,"AEROPRACT, A-21 Solo"
A210,LandPlane,1/Piston,"AQUILA, A-210"
A21N,LandPlane,2/Jet,"AIRBUS, A-321NEO"
A22,LandPlane,1/Piston,"SADLER, A-22 Piranha"
A223,LandPlane,1/Piston,"OSKBES-MAI, MAI-223 Kityonok"
A225,LandPlane,6/Jet,"ANTONOV, An-225 Mriya"
A23,LandPlane,1/Piston,"AEROPRACT, A-23 Dragon"
A249,Helicopter,2/Turboprop/Turboshaft,"LEONARDO, AW-249 Fenice"
A25,Amphibian,1/Piston,"AEROPRACT, A-25 Breeze"
A251,Amphibian,2/Piston,"AVIATIK-ALYANS, Aleks-251"
A27,LandPlane,1/Piston,"AEROPRACT, A-27"
A270,LandPlane,1/Turboprop/Turboshaft,"AERO, Ae-270 Propjet"
A29,LandPlane,1/Piston,"AVANTAGE, A-29"
A2RT,Helicopter,2/Turboprop/Turboshaft,"KAZAN, Ansat 2RT"
A3,LandPlane,2/Jet,"DOUGLAS, A-3 Skywarrior"
A306,LandPlane,2/Jet,"AIRBUS, A-300B4-600"
A30B,LandPlane,2/Jet,"AIRBUS, A-300B4-200"
A31,LandPlane,1/Piston,"AVANTAGE, A-31 Spectrum"
A310,LandPlane,2/Jet,"AIRBUS, A-310"
A318,LandPlane,2/Jet,"AIRBUS, A-318"
A319,LandPlane,2/Jet,"AIRBUS, A-319"
A320,LandPlane,2/Jet,"AIRBUS, A-320"
A321,LandPlane,2/Jet,"AIRBUS, A-321"
A32E,LandPlane,1/Electric,"SCHLEICHER, ASG-32EL"
A32P,LandPlane,1/Piston,"SCHLEICHER, ASG-32Mi"
A33,LandPlane,1/Piston,"AEROPRACT, A-33"
A332,LandPlane,2/Jet,"AIRBUS, A-330-200"
A333,LandPlane,2/Jet,"AIRBUS, A-330-300"
A337,LandPlane,2/Jet,"AIRBUS, A-330-700 Beluga XL"
A338,LandPlane,2/Jet,"AIRBUS, A-330-800"
A339,LandPlane,2/Jet,"AIRBUS, A-330-900"
A33E,LandPlane,1/Electric,"SCHLEICHER, AS-33Me"
A33P,LandPlane,1/Piston,"SCHLEICHER, AS-33Es"
A342,LandPlane,4/Jet,"AIRBUS, A-340-200"
A343,LandPlane,4/Jet,"AIRBUS, A-340-300"
A345,LandPlane,4/Jet,"AIRBUS, A-340-500"
A346,LandPlane,4/Jet,"AIRBUS, A-340-600"
A34E,LandPlane,1/Electric,"SCHLEICHER, AS-34Me"
A35,LandPlane,1/Piston,"AVANTAGE, A-35 Scanner"
A359,LandPlane,2/Jet,"AIRBUS, A-350-900 XWB"
A35K,LandPlane,2/Jet,"AIRBUS, A-350-1000 XWB"
A37,LandPlane,2/Jet,"CESSNA, A-37 Dragonfly"
A388,LandPlane,4/Jet,"AIRBUS, A-380-800"
A3ST,LandPlane,2/Jet,"AIRBUS, A-300ST Beluga"
A4,LandPlane,1/Jet,"MCDONNELL DOUGLAS, A-4 Skyhawk"
A400,LandPlane,4/Turboprop/Turboshaft,"AIRBUS, A-400M Atlas"
A411,LandPlane,2/Piston,"OSKBES-MAI, MAI-411"
A5,Amphibian,1/Piston,"ICON, A-5"
A50,LandPlane,4/Jet,"BERIEV, A-50"
A500,LandPlane,2/Piston,"ADAM, A-500 CarbonAero"
A504,LandPlane,1/Piston,"AVRO, 504 Replica"
A6,LandPlane,2/Jet,"GRUMMAN, A-6 Intruder"
A600,Helicopter,1/Piston,"ROTORWAY, A-600 Talon"
A660,LandPlane,1/Turboprop/Turboshaft,"AYRES, S-2R-T660 Turbo Thrush"
A700,LandPlane,2/Jet,"ADAM, A-700 AdamJet"
A743,LandPlane,2/Jet,"ANTONOV, An-74-300"
A748,LandPlane,2/Turboprop/Turboshaft,"HAWKER SIDDELEY, HS-748 Andover"
A890,LandPlane,1/Piston,"OSKBES-MAI, MAI-890"
A9,LandPlane,1/Piston,"AAMSA, A-9 Quail"
A900,LandPlane,1/Piston,"OSKBES-MAI, MAI-900 Acrobat"
A910,LandPlane,1/Piston,"OSKBES-MAI, MAI-910 Interfly"
