Aircraft TypeDesignator,Class,Number+Engine Type/FAA Weight Class,"MANUFACTURER, Model"
A002,Gyrocopter,1P/S,"IRKUT, A-002"
A1,Fixed-wing,1P/S+,"DOUGLAS, Skyraider"
A10,Fixed-wing,2J/L,"FAIRCHILD (1), A-10 Thunderbolt 2"
A109,Helicopter,2T/S,"AGUSTA, A-109"
A119,Helicopter,1T/S,"AGUSTA, A-119 Koala"
A122,Fixed-wing,1P/S,"AEROTEC (1), T-23 Uirapuru"
A124,Fixed-wing,4J/H,"ANTONOV, An-124 Ruslan"
A129,Helicopter,2T/S,"AGUSTA, A-129 Mangusta"
A139,Helicopter,2T/S+,"AGUSTAWESTLAND, AW-139"
A140,Fixed-wing,2T/L,"ANTONOV, An-140"
A148,Fixed-wing,2J/L,"ANTONOV, An-148"
A149,Helicopter,2T/S+,"AGUSTA, AW-149"
A158,Fixed-wing,2J/L,"ANTONOV, An-158"
A16,Fixed-wing,1P/S,"AVIADESIGN, A-16 Sport Falcon"
A169,Helicopter,2T/S,"AGUSTAWESTLAND, AW-169"
A178,Fixed-wing,2J/L,"ANTONOV, An-178"
A189,Helicopter,2T/S+,"AGUSTAWESTLAND, AW-189"
A19,Fixed-wing,1P/S,"AEROPRACT, A-19"
A19N,Fixed-wing,2J/L,"AIRBUS, A-319neo"
A20,Fixed-wing,2P/S+,"DOUGLAS, A-20 Havoc"
A205,Gyrocopter,1P/S,"OSKBES-MAI, MAI-205"
A20J,Fixed-wing,1J/S,"SCHLEICHER, ASW-20J"
A20N,Fixed-wing,2J/L,"AIRBUS, A-320neo"
A21,Fixed-wing,1P/S,"AEROPRACT, A-21 Solo"
A210,Fixed-wing,1P/S,"AQUILA, A-210"
A211,Fixed-wing,1P/S,"ALFA-M, A-211"
A21N,Fixed-wing,2J/L,"AIRBUS, A-321neo"
A22,Fixed-wing,1P/S,"SADLER, A-22 Piranha"
A223,Fixed-wing,1P/S,"OSKBES-MAI, MAI-223 Kityonok"
A225,Fixed-wing,6J/J,"ANTONOV, An-225 Mriya"
A23,Fixed-wing,1P/S,"AEROPRACT, A-23 Dragon"
A25,@Fixed-wing,1P/S,"AEROPRACT, A-25 Breeze"
A251,@Fixed-wing,2P/S,"AVIATIK-ALYANS, Aleks-251"
A27,Fixed-wing,1P/S,"AEROPRACT, A-27"
A270,Fixed-wing,1T/S,"IBIS (1), Ae-270 Ibis"
A29,Fixed-wing,1P/S,"AVANTAGE, A-29"
A2RT,Helicopter,2T/S,"KAZAN, Ansat 2RT"
A3,Fixed-wing,2J/L,"DOUGLAS, A-3 Skywarrior"
A306,Fixed-wing,2J/H,"AIRBUS, A-300B4-600"
A30B,Fixed-wing,2J/H,"AIRBUS, A-300B2-200"
A31,Fixed-wing,1P/S,"AVANTAGE, A-31 Spectrum"
A310,Fixed-wing,2J/H,"AIRBUS, A-310"
A318,Fixed-wing,2J/L,"AIRBUS, A-318"
A319,Fixed-wing,2J/L,"AIRBUS, A-319"
A320,Fixed-wing,2J/L,"AIRBUS, A-320"
A321,Fixed-wing,2J/L,"AIRBUS, A-321"
A33,Fixed-wing,1P/S,"AEROPRACT, A-33"
A33E,Fixed-wing,1E/S,"SCHLEICHER, AS-33Me"
A33P,Fixed-wing,1P/S,"SCHLEICHER, AS-33Es"
A332,Fixed-wing,2J/H,"AIRBUS, A-330-200"
A333,Fixed-wing,2J/H,"AIRBUS, A-330-300"
A337,Fixed-wing,2J/H,"AIRBUS, A-330-700 Beluga XL"
A338,Fixed-wing,2J/H,"AIRBUS, A-330-800"
A339,Fixed-wing,2J/H,"AIRBUS, A-330-900"
A342,Fixed-wing,4J/H,"AIRBUS, A-340-200"
A343,Fixed-wing,4J/H,"AIRBUS, A-340-300"
A345,Fixed-wing,4J/H,"AIRBUS, A-340-500"
A346,Fixed-wing,4J/H,"AIRBUS, A-340-600"
A35,Fixed-wing,1P/S,"AVANTAGE, A-35 Scanner"
A359,Fixed-wing,2J/H,"AIRBUS, A-350-900 XWB"
A35K,Fixed-wing,2J/NOWGT,"AIRBUS, A-350-1000 XWB"
A37,Fixed-wing,2J/S+,"CESSNA, A-37 Dragonfly"
A388,Fixed-wing,4J/J,"AIRBUS, A-380-800"
A3ST,Fixed-wing,2J/H,"AIRBUS, A-300ST Beluga"
A4,Fixed-wing,1J/S+,"DOUGLAS, A-4 Skyhawk"
A400,Fixed-wing,4T/H,"AIRBUS, A-400M Atlas"
A5,@Fixed-wing,1P/S,"ICON, A-5"
A50,Fixed-wing,4J/H,"BERIEV, A-50"
A500,Fixed-wing,2P/S,"ADAM (2), A-500 CarbonAero"
A504,Fixed-wing,1P/S,"AVRO, 504"
A6,Fixed-wing,2J/L,"GRUMMAN, A-6 Intruder"
A600,Helicopter,1P/S,"ROTORWAY, A-600 Talon"
A660,Fixed-wing,1T/S+,"AYRES, S-2R-T660 Turbo Thrush"
A7,Fixed-wing,1J/L,"VOUGHT, A-7 Corsair 2"
A700,Fixed-wing,2J/S,"ADAM (2), A-700 AdamJet"
A743,Fixed-wing,2J/L,"ANTONOV, An-74-300"
A748,Fixed-wing,2T/L,"HAWKER SIDDELEY, HS-748 Andover"
A890,Fixed-wing,1P/S,"AVIATIKA, MAI-890"
A9,Fixed-wing,1P/S,IMCO CallAir A-9
A900,Fixed-wing,1P/S,"AVIATIKA, MAI-900 Acrobat"
A910,Fixed-wing,1P/S,"AVIATIKA, MAI-910 Interfly"
AA1,Fixed-wing,1P/S,"GRUMMAN AMERICAN, AA-1 Trainer"
AA37,Fixed-wing,2P/S,"AEROPRACT, A-37"
AA5,Fixed-wing,1P/S,"GRUMMAN AMERICAN, AA-5 Traveler"
AAT3,Fixed-wing,1P/S,"AERO (3), AT-3"
AAT4,Fixed-wing,1P/S,"AERO (3), AT-4"
AB11,Fixed-wing,1P/S,"AERO BOERO, AB-115"
AB15,Fixed-wing,1P/S,"AERO BOERO, AB-150"
AB18,Fixed-wing,1P/S,"AERO BOERO, AB-180"
AB95,Fixed-wing,1P/S,AERO BOERO AB-95
